Name,Beds,Baths,Price:,Deposit,Waitlist,Available Units,Size (sq feet),Link,Apartment,Image
Leon - 4 Bed - 2 Bath A,4,2,$849,0,0,3,"1,516 - 1,548",https://www.theblockwestcampus.com//Brochure/Leon---4-Bed---2-Bath-A?siteId=6511284&fId=9218496,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760805/640x640/67760805.png
25th E - 4 Bed - 3 Bath A,4,3,"$874 - $1,430",0,0,11,"1,680 - 1,924",https://www.theblockwestcampus.com//Brochure/25th-E---4-Bed---3-Bath-A?siteId=6511284&fId=9218436,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760152/640x640/67760152.png
Rio - 4 Bed - 4 Bath A,4,4,$874 - $899,0,0,6,"1,400",https://www.theblockwestcampus.com//Brochure/Rio---4-Bed---4-Bath-A?siteId=6511284&fId=9218768,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67761023/640x640/67761023.png
Leon - 2 Bed - 2 Bath C,2,2,$914,0,0,1,886 - 954,https://www.theblockwestcampus.com//Brochure/Leon---2-Bed---2-Bath-C?siteId=6511284&fId=9218488,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760665/640x640/67760665.png
Leon - 4 Bed - 4 Bath A,4,4,$879 - $924,0,0,18,"1,456",https://www.theblockwestcampus.com//Brochure/Leon---4-Bed---4-Bath-A?siteId=6511284&fId=9218498,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760822/640x640/67760822.png
23rd - 4 Bed - 4 Bath A,4,4,$909 - $984,0,0,6,"1,400",https://www.theblockwestcampus.com//Brochure/23rd---4-Bed---4-Bath-A?siteId=6511284&fId=9218398,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759608/640x640/67759608.png
28th - 4 Bed - 2 Bath A,4,2,$919 - $929,0,0,5,"1,504",https://www.theblockwestcampus.com//Brochure/28th---4-Bed---2-Bath-A?siteId=6511284&fId=9218416,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759891/640x640/67759891.png
Pearl S - 4 Bed - 2 Bath A,4,2,$919 - $944,0,0,3,"1,488",https://www.theblockwestcampus.com//Brochure/Pearl-S---4-Bed---2-Bath-A?siteId=6511284&fId=9218527,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760973/640x640/67760973.png
Rio - 2 Bed - 2 Bath E1,2,1,$919 - $984,0,0,6,842,https://www.theblockwestcampus.com//Brochure/Rio---2-Bed---2-Bath-E1?siteId=6511284&fId=9218535,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760986/640x640/67760986.png
23rd - 3 Bed - 2 Bath A,3,2,$944 - $949,0,0,3,"1,167 - 1,284",https://www.theblockwestcampus.com//Brochure/23rd---3-Bed---2-Bath-A?siteId=6511284&fId=9218392,block_on_pearl,https://capi.myleasestar.com/v2/dimg/68211115/640x640/68211115.png
